model,accuracy,precision,recall,f1,roc_auc
"Ensemble Recall-Optimized (RF=0.4, SAGE=0.6)",0.9211485870556062,0.618463524854745,0.9046270066100094,0.7346625766871165,0.9395089731743915
Random Forest,0.920123062898815,0.6310395314787701,0.8139754485363551,0.7109278350515464,0.9239629881564597
GraphSAGE (early-stopped),0.9205788514129444,0.6167741935483871,0.902738432483475,0.7328478344193178,0.9290091789303456
GAT (early-stopped),0.8859389243391067,0.5169789227166276,0.833805476864967,0.6382363570654138,0.8866140303412636
